target,num_samples,n_pairs,mean_pretrained,mean_scratch,pretrained_ci90_lower,pretrained_ci90_upper,scratch_ci90_lower,scratch_ci90_upper,diff_mean,diff_ci_lower_95,diff_ci_upper_95,diff_pct_mean,diff_pct_ci_lower_95,diff_pct_ci_upper_95,p_value_diff_leq_0
binding,10,100,2.062856,5.281387,1.9162457999999998,2.22319805,4.4307631999999995,6.281292149999998,3.218531,2.3138689999999995,4.342046075,0.6094101795607859,0.5326436014585869,0.6712817461687373,0.0
binding,18,100,1.7445550000000005,3.210123,1.6098145500000003,1.8971021499999996,2.8447693000000003,3.5974623999999995,1.4655679999999998,1.01945295,1.9327892749999998,0.45654574606642795,0.3598322520236422,0.5330931051799112,0.0
binding,32,100,1.183887,1.539844,1.0856799500000003,1.2885414499999999,1.3755861,1.7313523499999999,0.355957,0.15020482500000001,0.5760790499999997,0.23116432573689286,0.10814387256955914,0.33357826230382986,0.00018
binding,56,100,0.8376049999999996,1.071852,0.7823965499999999,0.8975281,0.9900707,1.1643831500000001,0.234247,0.149115,0.32405312499999994,0.218544164679452,0.1478760779719919,0.28191549998094495,0.0
binding,100,100,0.617422,0.686784,0.5956429499999999,0.64046305,0.65706795,0.7192454,0.06936199999999998,0.024686749999999997,0.11712224999999993,0.10099536389898423,0.037454972054190225,0.16280910078165237,0.00078
binding,178,100,0.5187219999999999,0.54194,0.50370195,0.5343370500000001,0.5266639,0.55768405,0.023218000000000003,-0.0009690250000000013,0.047402025,0.042842381075395806,-0.001820332683088019,0.08541989093535375,0.02995
binding,316,100,0.429234,0.44358500000000006,0.421543,0.437329,0.43356895,0.45392899999999997,0.014351000000000003,0.0014260000000000073,0.02755707499999999,0.03235231128194146,0.003272505834219031,0.06088081196874272,0.01491
binding,562,100,0.36235999999999996,0.369608,0.3585340000000001,0.366259,0.36361794999999997,0.375868,0.007248,-0.0015640999999999956,0.016301024999999993,0.019609965152269433,-0.004311175728530591,0.04333062523973084,0.05475
binding,1000,100,0.324264,0.32651399999999997,0.321186,0.327433,0.32264,0.3306120500000001,0.002250000000000002,-0.003603999999999996,0.008216024999999995,0.006890975578382557,-0.011158066779570347,0.02485491666149679,0.22566
